id,policy_start_date,policy_end_date,sum_insured,construction_description,year_built,num_stories,square_foot_area,oed_construction_code
493452935,11/01/2023,31/10/2024,1773777,reinforced masonry with RBM walls,1944,1,34280,5105
523244424,16/05/2023,15/05/2024,852228,wood frame and hip roof with slope less than or equal to 30 degrees,1988,1,2228,5050
415358021,16/03/2023,15/03/2024,2160032,reinforced masonry - stucco cladding and flat roof with parapets,1992,1,4148,5105
672761046,29/11/2023,28/11/2024,728047,reinforced masonry wood frame rooof,2013,1,2763,5105
122437380,27/05/2023,26/05/2024,460640,light metal steel frame -corrugated roofing,2007,1,4380,5201
429351372,13/09/2023,12/09/2024,1873257,light metal steel frame - lightweight metal roofing,2020,1,18703,5201
19659162,29/10/2023,28/10/2024,1964156,joisted masonry,2009,4,12903,5108
238258789,08/10/2023,09/08/2024,684486,joisted masonry,2013,2,5172,5108
749755668,04/01/2023,31/03/2024,3684879,reinforced masonry,1970,2,41746,5105
694460177,10/06/2023,05/10/2024,2218467,wood frame 2x4 w/ wood bracing,2018,1,14644,5050
331063465,31/05/2023,30/05/2024,665252,reinforced masonry,1974,2,7164,5105
242823521,08/11/2023,10/08/2024,1339775,reinforced masonry,2020,5,6258,5105
71095484,26/12/2023,25/12/2024,2598720,reinforced masonry wood frame rooof,1989,1,32157,5105
170102065,18/06/2023,17/06/2024,4205864,reinforced masonry,2003,1,37696,5105
159737569,02/07/2023,07/02/2024,773644,masonry,2015,1,6033,5100
327911178,02/10/2023,10/02/2024,4906719,unknown,2003,1,41401,5000
210838959,21/06/2023,20/06/2024,860605,reinforced masonry - stucco cladding and flat roof with parapets,2008,1,8050,5105
840570068,01/12/2023,12/01/2024,1164404,reinforced masonry w/ reinforced brick masonry,1992,1,5089,5105
672126022,13/01/2024,12/01/2025,3888322,wood  frame - brick veneer cladding and gable roof with slope greater than 30 degrees,2014,1,20844,5050
660733442,27/11/2023,26/11/2024,450658,joisted masonry,1988,1,3534,5108
427542134,03/09/2023,08/03/2024,1042835,unknown,1987,1,11197,5000
2107085,01/02/2023,02/01/2024,924742,missing,1990,1,7035,5000
694318409,25/07/2023,24/07/2024,1359555,wood  frame - stucco cladding and hip roof with slope less than or equal to 30 degrees,2006,1,11381,5050
110789370,09/04/2023,03/09/2024,964522,joisted masnry,2019,1,4786,5108
427078787,28/11/2023,27/11/2024,1537390,reinforced masonry - stucco cladding and flat roof with parapets,2004,4,2429,5105
134372035,26/07/2023,25/07/2024,1644569,reinforced masonry wood frame rooof,1986,1,22316,5105
88497174,09/04/2023,03/09/2024,3039001,reinforced masonry wood frame rooof,2016,1,24646,5105
622643185,20/02/2023,20/02/2024,3175268,wood  frame - stucco cladding and flat roof without parapets,2007,2,16580,5050
91124521,14/01/2024,13/01/2025,3175195,reinforced masonry - stucco cladding and flat roof,1993,2,6788,5105
699591212,08/04/2023,03/08/2024,1047912,light gauge steel frame,2012,1,5523,5201
489430293,12/10/2023,09/12/2024,889250,wood frame 2x4 w/ wood bracing,2006,1,7059,5050
245206079,24/12/2022,24/12/2023,847447,wood  frame - stucco cladding and hip roof with slope greater than 30 degrees,2011,1,25456,5050
65174505,08/12/2023,11/08/2024,786706,reinforced masonry and flat roof with parapets,1995,2,5521,5105
943615139,09/07/2023,06/09/2024,1721315,light metal steel frame - lightweight roofing,2002,1,9817,5201
339113592,27/11/2023,26/11/2024,1586301,reinforced masonry - stucco cladding and flat roof with parapets,2013,2,11379,5105
121533669,02/09/2023,09/02/2024,1232514,light gauge steel frame,1955,5,4126,5201
270046357,12/09/2023,08/12/2024,1294721,light gauge steel frame,2012,1,4469,5201
762996856,14/05/2023,13/05/2024,1756906,light metal,2015,1,36167,5201
866043797,05/12/2023,11/05/2024,1615086,fire resistive concrete ,2013,2,24585,5150
871775566,07/12/2023,11/07/2024,3201677,light metal w/ corrugated roofing ,2020,1,27577,5201
901527262,26/11/2023,25/11/2024,1246339,light metal steel,2020,1,2285,5201
135434429,21/02/2023,21/02/2024,854786,wood frame - stucco cladding and braced gable roof with slope less than or equal to 30,2020,2,8513,5050
160635258,01/10/2023,10/01/2024,443270,wood frame - brick veneer cladding and gable roof with slope less than or equal to 30 degrees,2006,1,1505,5050
14580783,01/01/2023,01/01/2024,3502291,wood frame - stucco cladding and flat roof without parapets,2006,1,53577,5050
805914299,18/02/2023,18/02/2024,9103584,reinforced masonry - stucco cladding and flat roof without parapets,2018,1,66871,5105
596318030,24/07/2023,23/07/2024,1133299,joisted masonry,1976,1,4253,5108
657577723,04/06/2023,05/04/2024,3332466,wood frame - brick veneer cladding  & flat roof,2015,1,12354,5050
181645711,24/04/2023,23/04/2024,1232241,joisted masonry,2008,2,10854,5108
923902169,24/11/2023,23/11/2024,545437,reinforced masonry - masonry cladding and flat roof with parapets,2003,1,4798,5105
988097766,02/11/2023,11/02/2024,1368666,reinforced masonry - stucco cladding and flat roof with parapets,2010,1,11422,5105
581271373,26/01/2023,26/01/2024,7575880,light metal steel frame - lightweight metal roofing ,2006,1,37867,5201
469834538,16/12/2023,15/12/2024,3955099,wood frame 2x4 w/ wood bracing,2015,1,37146,5050
723589698,23/02/2023,23/02/2024,690958,masonry,2007,1,2209,5100
435641112,18/05/2023,17/05/2024,983314,wood frame - stucco cladding  & flat roof without parapets,2020,2,6613,5050
696158558,17/08/2023,16/08/2024,632783,joisted masonry,2017,1,2373,5108
144025507,23/02/2024,22/02/2025,2576669,light metal w/ corrugated roofing ,2017,1,17102,5201
187696310,12/04/2023,03/12/2024,1836019,light metal steel frame - lightweight metal roofing,2019,1,14008,5201
202331965,04/09/2023,08/04/2024,2056621,light metal w/ corrugated roofing,2000,2,21062,5201
420935188,16/05/2023,15/05/2024,372150,reinforced masonry with RBM walls,2017,1,1828,5105
132257767,06/07/2023,06/06/2024,1701220,reinforced masonry and flat roof w/o parapets,2008,1,7776,5105
105256774,28/11/2023,27/11/2024,2330689,masonry,1980,1,17361,5100
258266459,25/07/2023,24/07/2024,954214,light metal,2016,1,18139,5201
720529350,21/03/2023,20/03/2024,3369870,reinforced masonry - masonry cladding and flat roof with parapets,1996,2,37065,5105
40663063,07/04/2023,03/07/2024,672678,reinforced masonry - brick veneer cladding and flat roof without parapets,1955,1,1861,5105
795369701,23/05/2023,22/05/2024,1132828,unknown,1995,1,12739,5000
344694866,15/07/2023,14/07/2024,1888918,reinforced masonry with RBM walls,1977,1,15997,5105
164249372,09/01/2024,01/09/2025,5970394,fire  resistive concrete - stucco cladding and flat roof without parapets,2005,1,36050,5150
369555276,21/07/2023,20/07/2024,5916773,reinforced  masonry and wood frmed flt roof without parapets,2018,1,33831,5105
52241786,25/07/2023,24/07/2024,1389727,light gauge steel frame,2011,1,3751,5201
486839579,05/05/2023,04/05/2024,698832,reinforced masonry - stucco cladding and flat roof,1988,1,3892,5105
611816348,08/06/2023,05/08/2024,2860321,reinforced masonry with RBM walls,2014,1,15090,5105
311474867,05/01/2023,30/04/2024,1870464,reinforced masonry - stucco cladding and flat roof with parapets,2002,1,18830,5105
342455226,07/09/2023,08/07/2024,1069232,wood frame 2x4 w/ wood bracing,1974,2,7185,5050
586697737,06/11/2023,10/06/2024,3290348,wood frame - brick veneer cladding and hip roof with slope less than or equal to 30 degrees,1977,1,35968,5050
563411983,18/07/2023,17/07/2024,1681446,light  metal,2012,2,3702,5201
171301507,02/04/2023,04/02/2024,1528994,reinforced masonry and flat roof with parapet,1983,1,8728,5105
250960263,18/11/2023,17/11/2024,639242,light metal,2016,1,7544,5201
912349605,24/11/2022,24/11/2023,2277856,reinforced masonry,1964,2,4088,5105
757771540,28/12/2023,27/12/2024,1519823,light metal,2015,2,6777,5201
897246084,07/09/2023,08/07/2024,488754,light metal steel frame - lightweight metal roofing ,2015,2,2587,5201
607352787,06/02/2024,02/06/2025,505666,reinforced masonry and flat roof with parapet,2006,2,2018,5105
228969790,23/08/2023,22/08/2024,3684286,light gauge steel frame,2017,1,9192,5201
791533644,31/08/2023,30/08/2024,3582325,reinforced masonry - stucco cladding and flat roof with parapets,2007,1,16744,5105
190963505,05/02/2023,01/05/2024,521359,reinforced masonry - stucco cladding and flat roof with parapets,1980,1,2481,5105
658641100,31/08/2023,30/08/2024,1934975,light metal steel frame - lightweight metal roofing ,2011,3,19149,5201
849950003,28/12/2022,28/12/2023,1827446,reinforced masonry - stucco cladding and flat roof with parapets,2018,1,14676,5105
78631857,22/12/2023,21/12/2024,846548,reinforced  masonry and wood framed flat roof without parapets,2003,1,1685,5105
319652171,10/08/2023,07/10/2024,2062006,wood  frame - stucco cladding and flat roof with parapets,2016,2,26622,5050
940004519,05/11/2022,11/05/2023,1178113,unknown,2015,1,13787,5000
186538650,12/10/2023,09/12/2024,570169,reinforced masonry with RBM walls,1997,1,9707,5105
163081175,10/09/2023,08/10/2024,950662,reinforced masonry - flat roof,2013,1,5053,5105
576269156,14/10/2023,13/10/2024,1302203,wood frame 2x4 w/ wood bracing,2015,1,16078,5050
866894302,06/02/2023,01/06/2024,3067092,reinforced masonry with RBM walls,2007,2,12531,5105
220435639,02/07/2023,07/02/2024,326441,reinforced masonry with RBM walls,2018,1,1423,5105
391492972,09/01/2024,01/09/2025,872081,reinforced masonry - stucco cladding and flat roof with parapets,2014,2,12013,5105
992907626,16/10/2023,15/10/2024,931498,wood frame - vinyl siding cladding and hip roof with slope greater than 30 degrees,1980,1,3233,5050
582539310,06/10/2023,09/06/2024,2264221,reinforced  masonry - brick cladding and flat roof without parapets,1982,2,14209,5105
56942673,28/10/2023,27/10/2024,3793941,light metal steel frame - lightweight roofing,2017,2,16229,5201
720086459,10/12/2023,11/10/2024,1058689,light gauge steel frame,2017,1,8566,5201
645149093,03/02/2023,01/03/2024,623634,light gauge steel frame,2019,1,1511,5201
931564261,26/12/2023,25/12/2024,3716976,light metal w/ corrugated roofing ,1988,1,38390,5201
2598950,05/12/2023,11/05/2024,4144041,wood frame 2x4 w/ wood bracing,2018,2,44397,5050
924559443,13/03/2023,12/03/2024,867573,wood frame - metal cladding and braced gable roof with slope less than or equal to 30,1988,1,16647,5050
302746507,18/04/2023,17/04/2024,806899,reinforced masonry - stucco cladding and flat roof with parapets,2017,1,6811,5105
829268623,03/07/2023,06/03/2024,422138,reinforced  masonry - brick veneer cladding and flat roof without parapets,2019,1,2272,5105
256954771,05/05/2023,04/05/2024,869411,wood  frame - metal sheathin cladding and flat roof without parapets,2007,1,21485,5050
558182778,25/08/2023,24/08/2024,7024578,joisted masonry,2016,1,66618,5108
235926947,25/08/2023,24/08/2024,463761,steel - metal cladding and gable roof with slope greater than 30 degrees,2012,1,2244,5200
804670447,20/03/2023,19/03/2024,3982121,reinforced concrete,2004,2,20578,5150
239601414,19/04/2023,18/04/2024,1662674,reinforced masonry - stucco cladding and flat roof with parapets,2001,1,20677,5105
30330558,12/02/2023,01/12/2024,647746,reinforced masonry,1996,1,5104,5105
390427830,26/03/2023,25/03/2024,4609484,wood frame and gable roof with slope less than or equal to 30 degrees,2009,1,49986,5050
727060626,23/06/2023,22/06/2024,5321231,reinforced masonry,1999,1,44595,5105
824390654,10/02/2023,01/10/2024,2269088,fire resistive concrete - stucco cladding and flat roof w/ parapets,2000,1,20263,5150
771865036,06/12/2022,12/06/2023,2774654,light gauge steel frame,1999,2,13952,5201
870870816,12/08/2023,07/12/2024,1242376,reinforced  masonry and wood framed flat roof without parapets,1998,2,3993,5105
487369914,11/01/2023,31/10/2024,954478,light metal steel frame - lightweight metal roofing,2001,1,9286,5201
358717760,05/09/2023,08/05/2024,513496,wood frame - brick cladding and gable roof with slope greater than 30 degrees,2015,1,16022,5050
479895849,01/02/2023,02/01/2024,1877185,reinforced masonry with RBM walls,2014,1,18451,5105
152225374,14/07/2023,13/07/2024,3050785,light metal,1995,1,20208,5201
546523338,05/08/2023,07/05/2024,4264965,light metal steel frame - lightweight metal roofing,2019,2,25209,5201
2232503,27/03/2023,26/03/2024,1116412,wood  frame - stucco cladding and gable roof with slope less than or equal to 30 degrees,2011,1,8754,5050
163704498,10/12/2023,11/10/2024,750599,reinforced masonry - stucco cladding and flat roof with parapets,2008,1,5078,5105
298836614,15/02/2024,14/02/2025,2689672,reinforced masonry with RBM walls,2016,1,17571,5105
401531214,29/05/2023,28/05/2024,1334860,wood frame -2x6,1970,1,6047,5050
577713463,21/02/2023,21/02/2024,1430783,reinforced masonry wood frame rooof,1998,1,11976,5105
913403670,11/07/2023,06/11/2024,1665623,reinforced masonry & flat roof,2015,1,23002,5105
522337841,06/06/2023,05/06/2024,630060,light metal steel frame - lightweight roofing,2020,1,6479,5201
497223808,28/10/2023,27/10/2024,5619771,reinforced masonry - stucco cladding and flat roof with parapets,2000,1,46954,5105
687994451,13/06/2023,12/06/2024,490459,fire resistive concrete - stucco cladding and flat roof w/o parapets,1929,1,3849,5150
759932978,13/12/2023,12/12/2024,1393595,light metal steel frame - lightweight metal roofing,2000,1,6386,5201
800203645,08/06/2023,05/08/2024,578779,reinforced masonry w/ reinforced brick masonry,2002,1,1473,5105
823967258,14/09/2023,13/09/2024,3756002,joisted masonry,1990,1,47266,5108
33566834,09/01/2023,31/08/2024,1746103,joisted masonry,1981,3,21823,5108
693201380,25/04/2023,24/04/2024,1216560,fire resistive concrete- stucco cladding & flat roof with parapets,1999,1,13332,5150
626357874,25/11/2022,25/11/2023,1702288,reinforced masonry - stucco cladding and flat roof with parapets,1972,1,6849,5105
214375079,29/04/2023,28/04/2024,910291,unknown,2011,1,5660,5000
531913002,03/12/2023,11/03/2024,494065,joisted masonry,2018,1,3513,5108
289221142,03/03/2023,02/03/2024,887677,joisted masonry,1995,1,7949,5108
365862009,25/11/2023,24/11/2024,5602492,light metal steel frame - lightweight metal roofing,2019,1,41807,5201
533297854,31/01/2023,31/01/2024,1499988,wood frame - stucco cladding and braced gable roof with slope less than or equal to 30,2012,1,11839,5050
285182149,29/03/2023,28/03/2024,608916,reinforced masonry - brick veneer cladding and flat roof without parapets,1990,1,3131,5105
104352148,07/06/2023,05/07/2024,4214928,light metal,1965,1,44973,5201
634673037,31/01/2023,31/01/2024,452546,light metal asbestos siding,2017,1,1403,5201
279987391,08/12/2022,12/08/2023,2929929,reinforced masonry w/ reinforced brick masonry,2008,2,14920,5105
590632751,30/07/2023,29/07/2024,2114121,light metal steel frame -corrugated roofing,2007,1,18238,5201
801475149,24/04/2023,23/04/2024,1415459,reinforced masonry,1975,1,10631,5105
751544492,18/02/2023,18/02/2024,825879,reinforced masonry with RBM walls,2002,1,4000,5105
666832955,24/01/2024,23/01/2025,2211634,joisted masonry,2017,1,6309,5108
770983968,15/07/2023,14/07/2024,1259454,reinforced masonry & flat roof,2019,1,26287,5105
926038192,05/06/2023,05/05/2024,2292052,light metal steel frame - asbestos roof,2020,1,5303,5201
43797361,02/02/2023,02/02/2024,1810461,joisted masonry,2016,1,9455,5108
971254424,15/06/2023,14/06/2024,9151760,fire resistive concrete - stucco cladding and flat roof w/ parapets,2001,1,58857,5150
863901292,27/08/2023,26/08/2024,3234818,wood frame 2x4 w/ wood bracing,2009,1,13155,5050
795858147,28/11/2023,27/11/2024,1438173,joisted masonry,2008,1,6631,5108
782365017,25/04/2023,24/04/2024,397670,reinforced masonry - stucco cladding and flat roof without parapets,2008,1,7604,5105
986939445,15/01/2023,15/01/2024,1826630,joisted masonry,2015,1,6419,5108
278846704,26/03/2023,25/03/2024,3756910,reinforced masonry - stucco cladding and flat roof,2008,1,27240,5105
11825960,09/11/2023,10/09/2024,1680102,light metal steel frame -corrugated roofing,2017,1,5626,5201
467966973,18/04/2023,17/04/2024,1639353,reinforced  masonry - masonry cladding and flat roof without parapets,2015,1,24708,5105
994908050,10/08/2023,07/10/2024,3123066,masonry,2013,2,13574,5100
221854082,28/09/2023,27/09/2024,486357,joisted masonry,2015,1,2730,5108
713233861,21/04/2023,20/04/2024,1078724,wood  frame - stucco cladding and braced gable roof with slope less than or equal to 30,2014,1,17859,5050
772243516,24/07/2023,23/07/2024,1657347,reinforced masonry wood frame rooof,2005,1,9914,5105
424379716,21/09/2023,20/09/2024,1496423,wood frame (2x4 inch wood),1983,1,9791,5050
84583617,02/07/2023,07/02/2024,1611325,reinforced masonry,2017,1,9306,5105
804578094,18/07/2023,17/07/2024,1719010,reinforced masonry - stucco cladding and flat roof with parapets,2012,1,13212,5105
121801172,07/03/2023,02/07/2024,4391176,reinforced masonry with RBM walls,1994,1,16888,5105
666305806,19/03/2023,18/03/2024,2157957,reinforced masonry and flat roof w/o parapets,2015,1,4039,5105
934543312,03/07/2023,06/03/2024,1452389,reinforced masonry - stucco cladding and flat roof,2012,1,5690,5105
135018926,26/08/2023,25/08/2024,3672674,light metal steel frame - lightweight metal roofing,2009,1,35826,5201
787110017,22/05/2023,21/05/2024,1292057,reinforced masonry - masonry cladding and flat roof with parapets,2013,1,7257,5105
883004946,08/04/2023,03/08/2024,1336086,light gauge steel frame,2010,1,9361,5201
764299361,04/03/2023,02/04/2024,647152,masonry,2020,1,1571,5100
866654635,23/06/2023,22/06/2024,1042555,light metal steel frame - lightweight metal roofing,2020,1,10271,5201
467090135,26/12/2022,26/12/2023,347365,reinforced  masonry and flat roof without parapets,2020,1,4754,5105
639952647,11/05/2023,04/11/2024,821146,joisted masonry,1995,1,1852,5108
164586503,27/02/2023,27/02/2024,2571181,joisted masonry,1991,1,20782,5108
499260597,25/05/2023,24/05/2024,2593668,joisted masonry,2006,1,17113,5108
943453114,08/12/2023,11/08/2024,2926080,wood frame - stucco cladding  & hip rof,1995,1,45267,5050
342087379,02/05/2023,05/02/2024,2232314,reinforced masonry - stucco cladding and flat roof with parapets,2014,1,13422,5105
320992808,01/06/2023,06/01/2024,5171134,reinforced masonry,2004,1,16476,5105
771504756,18/06/2023,17/06/2024,1566952,light metal steel frame - lightweight metal roofing ,1973,2,8008,5201
869621794,27/11/2023,26/11/2024,3165747,reinforced masonry - stucco cladding and flat roof with parapets,2002,1,33966,5105
599831681,06/06/2023,05/06/2024,2353604,wood  frame and gable roof with slope less than or equal to 30 degrees,2020,2,9736,5050
522883663,15/08/2023,14/08/2024,3679302,reinforced masonry - stucco cladding and flat roof,2015,1,19799,5105
402465034,03/08/2023,07/03/2024,1130030,light metal steel frame - lightweight roofing,1998,1,2949,5201
612981823,21/02/2023,21/02/2024,397988,reinforced masonry - stucco cladding and flat roof,2007,2,1586,5105
828456722,25/12/2022,25/12/2023,1722979,wood  frame - brick veneer cladding  & hip roof,2018,1,4464,5050
873371607,17/01/2023,17/01/2024,1308258,reinforced masonry - stucco/metal cladding and flat roof with parapets,2011,1,25821,5105
776492861,26/12/2023,25/12/2024,657391,light metal steel frame - lightweight metal roofing,2020,1,2045,5201
327659575,17/01/2024,16/01/2025,1447255,masonry,1957,1,1927,5100
614070590,12/08/2023,07/12/2024,954267,light metal steel frame - lightweight metal roofing ,1991,1,2326,5201
962983967,20/10/2022,20/10/2023,608062,reinforced masonry with RBM walls,1984,1,10772,5105
297386782,20/12/2023,19/12/2024,5003068,wood frame - brick veneer cladding  & hip roof,1996,1,19186,5050
937905476,25/03/2023,24/03/2024,3740258,reinforced  masonry - stucco cladding and flat roof with parapets,2018,1,15973,5105
24865396,13/09/2023,12/09/2024,1525434,reinforced  masonry - reinforced mas cladding and flat roof without parapets,2011,2,10285,5105
352841783,07/03/2023,02/07/2024,823204,reinforced masonry - stucco cladding,1985,1,14962,5105
753016679,01/01/2023,01/01/2024,1668367,unknown,1991,2,5123,5000
822294719,12/02/2023,01/12/2024,683831,joisted masonry,1999,1,11399,5108
126627695,08/09/2023,08/08/2024,1807991,joisted masonry,2020,1,3693,5108
28620954,16/10/2023,15/10/2024,1147053,unknown,2000,1,4393,5000
958921669,26/11/2023,25/11/2024,966881,reinforced masonry,2010,2,5497,5105
204956054,29/06/2023,28/06/2024,1853536,wood  frame - stucco cladding and hip roof with slope greater than 30 degrees,2015,1,22362,5050
804807130,23/04/2023,22/04/2024,4993539,light gauge steel frame,1986,1,20883,5201
795959843,08/02/2023,01/08/2024,694638,light gauge steel frame,2012,1,2510,5201
899782346,07/11/2023,10/07/2024,1931307,reinforced masonry w/ reinforced brick masonry,1991,1,21094,5105
501758775,31/08/2023,30/08/2024,926471,reinforced masonry wood frame rooof,1998,1,3076,5105
324689489,10/05/2023,04/10/2024,1766680,reinforced masonry - stucco cladding and flat roof with parapets,2008,1,7604,5105
99782173,18/03/2023,17/03/2024,1572449,light metal w/ corrugated roof,2003,1,19258,5201
407537498,12/08/2023,07/12/2024,2403221,unknown,2020,2,25514,5000
32973593,25/03/2023,24/03/2024,2752525,light  metal asbestos siding,1986,1,26817,5201
506319317,11/06/2023,05/11/2024,978895,joisted masonry,2011,2,4225,5108
45712235,22/04/2023,21/04/2024,1140954,wood frame (2x4 inch wood),2013,2,9843,5050
816665622,05/06/2023,05/05/2024,582264,wood frame and braced gable roof with slope less than or equal to 30,1997,1,1927,5050
195885465,07/05/2023,04/07/2024,1036845,joisted masonry,1950,5,12371,5108
495940144,30/08/2023,29/08/2024,1819083,reinforced masonry - stucco cladding and flat roof with parapets,2019,2,17357,5105
867070753,12/03/2023,02/12/2024,2079285,reinforced  masonry - concrete block cladding and flat roof without parapets,2013,1,15220,5105
644154253,16/10/2023,15/10/2024,2327085,reinforced masonry - stucco cladding and flat roof without parapets,1969,1,21196,5105
494348979,03/11/2023,10/03/2024,1607016,wood frame and gable roof with slope less than or equal to 30 degrees,1998,1,19697,5050
827400050,12/05/2023,04/12/2024,531285,light metal steel frame - lightweight metal roofing ,2015,1,1571,5201
557251534,03/12/2023,11/03/2024,635275,light metal steel frame - lightweight metal roofing,2007,1,10109,5201
477638270,24/09/2023,23/09/2024,1919711,masonry,1970,1,16663,5100
507144525,27/09/2023,26/09/2024,1690704,joisted masonry,2004,1,34784,5108
556513942,03/08/2023,07/03/2024,1931000,reinforced masonry - stucco cladding and flat roof,1999,2,4614,5105
683630959,03/09/2023,08/03/2024,705127,light gauge steel frame,2011,1,1752,5201
488203930,29/06/2023,28/06/2024,3196281,light metal steel frame - lightweight metal roofing,1987,1,22641,5201
309833586,23/07/2023,22/07/2024,476290,wood frame - brick veneer cladding  & flat roof without parapets,2018,2,1556,5050
383536564,03/02/2024,02/03/2025,2544785,reinforced masonry - stucco cladding and braced gable roof with slope less than or equal to 30,2020,1,10502,5105
575558720,12/04/2023,03/12/2024,2667227,wood  frame - wood cladding and hip roof with slope less than or equal to 30 degrees,1992,1,14767,5050
560821265,26/05/2023,25/05/2024,1465822,joisted masonry,2009,1,21810,5108
338041511,12/06/2023,05/12/2024,3696419,unknown,2005,1,25946,5000
421761617,13/02/2024,12/02/2025,2323886,reinforced masonry - stucco cladding and flat roof,1979,2,17331,5105
226937364,10/06/2023,05/10/2024,1940497,light metal,2010,1,12804,5201
574852890,23/10/2023,22/10/2024,968455,light metal,1980,4,23344,5201
823291022,24/06/2023,23/06/2024,404205,reinforced masonry - stucco cladding and flat roof without parapets,2016,1,6146,5105
518562251,25/07/2023,24/07/2024,291259,reinforced  masonry - brick veneer cladding and flat roof without parapets,2012,1,1346,5105
486021873,10/06/2023,05/10/2024,920118,reinforced masonry w/ reinforced brick masonry,2000,1,19000,5105
944343941,26/06/2023,25/06/2024,1042072,joisted masonry,2009,1,5865,5108
113308538,09/02/2023,01/09/2024,1049146,light metal,2020,1,16769,5201
522128712,22/04/2023,21/04/2024,4223150,light metal steel frame ,2002,2,34023,5201
777986995,16/03/2023,15/03/2024,459411,reinforced masonry - stucco cladding and flat roof,2008,2,1864,5105
469523163,27/11/2023,26/11/2024,4245538,light  metal steel frame - lightweight roofing,2015,2,44550,5201
166004254,11/08/2023,07/11/2024,827801,reinforced masonry - stucco cladding and flat roof with parapets,2012,1,4009,5105
5545131,12/12/2023,11/12/2024,2438146,light metal steel frame - lightweight metal roofing ,2013,1,23508,5201
99841313,23/12/2022,23/12/2023,856851,wood frame and flat roof without parapets,2005,1,6091,5050
606603879,04/04/2023,03/04/2024,3652858,wood frame 2x4 w/ wood bracing,1957,1,40495,5050
530758786,02/09/2023,09/02/2024,6569215,wood frame (2x4 inch wood),1999,1,93102,5050
200199199,11/12/2022,12/11/2023,1318787,masonry,2015,1,11541,5100
381469320,04/10/2023,09/04/2024,995198,wood frame and flat roof with parapets,2016,2,10674,5050
412106188,09/09/2023,08/09/2024,3253558,reinforced masonry - stucco cladding and flat roof,2015,2,19217,5105
359389389,01/04/2023,04/01/2024,1068079,light metal,1985,2,4503,5201
196287316,14/06/2023,13/06/2024,926150,reinforced masonry - brick veneer cladding and flat roof without parapets,1995,1,5477,5105
167898253,12/11/2023,10/12/2024,1951164,wood frame 2x4 w/ wood bracing,1970,1,7021,5050
195601192,16/06/2023,15/06/2024,1184522,reinforced masonry with RBM walls,2017,2,5809,5105
146466189,08/02/2023,01/08/2024,2419018,reinforced masonry - stucco cladding and flat roof with parapets,1977,1,23058,5105
601238047,28/05/2023,27/05/2024,4098895,unknown,2009,1,9202,5000
121734412,08/11/2023,10/08/2024,4322885,unknown,2007,1,25785,5000
677328612,27/10/2023,26/10/2024,2656283,light metal steel frame ,1989,1,14530,5201
842047120,12/04/2023,03/12/2024,2662542,joisted masonry,2015,1,22959,5108
996572071,20/11/2022,20/11/2023,1471446,reinforced  masonry and gable roof with slope less than or equal to 30 degrees,2014,1,10862,5105
852503273,23/12/2022,23/12/2023,753366,joisted masonry,1983,1,6670,5108
832323391,09/08/2023,07/09/2024,2797091,reinforced masonry - stucco cladding and flat roof with parapets,1982,1,34390,5105
638017277,31/03/2023,30/03/2024,778889,wood  frame - stucco cladding and hip roof with slope greater than 30 degrees,2005,1,2446,5050
